"pros","cons","advice","rating","organization"
"High caliber talent. High quality work. High profile clients. High standards and solid reputation.","Turnover among director and partner ranks has increased. This firm used to have a very strong team orientation and culture. This still exists among the staff, but seems to have diminished when it comes to the senior members of management. Numbers have been stagnant over last few years.","Stablize management by reducing discord among senior executives. Work together as a team. Strengthen sales.","4.0","CAST Management Consultants"
"Big promises of advancement, decent compensation (though slightly under industry avg), intelligent junior ranks, a handful of interesting/engaging projects every year. Overall the positive side of working at CAST is working direct for (and being shielded by) the star VPs","No professional development; extreme turmoil and politics despite constant reputation management as a ""family firm""; much of best management talent leaving the firm; highly prejudiced and ""frat"" culture; Hazing by teasing and insults as well as heavy drinking seems to be the best way to fit in; poor staffing; face time EXTREMELY important; no work-life balance despite promises; heavy travel schedule; clients tend to be located in very bad places to work (e.g. Iowa, Buffalo NY, etc.); Common cross-country travel 4+ days per week","Recognize needs of employees across levels for work-life balance as well as professional development; revamp on-boarding and staffing processes to make work environment engaging and actually utilize employees well.","1.0","CAST Management Consultants"
"boutique environment, great place to pick up new skills (if they can weather the banking storm), access to senior level resources, and, once you get staffed, lots of client time. lots of opportunity at the junior level to try-out various practice areas (strategy, it, OE, etc.).","not entirely collegial, can be cut-throat and mid-level management can be pretty political at times. working out of the office and being unstaffed can be torturous at times too. face time matters.","manage associates' expectations.","4.0","CAST Management Consultants"
"They will convince you that you are part of the family","You are never part of the family.",,"1.0","vVolve Management Consultants"
"- Working with vVolve has improved myself to become much better person than before.- vVolve provides growth opportunities for both self and company, provided that you put sufficient effort as your investment with the company.- Office facilities includes gym and swimming pool ( Hotel Grade! ).- Located near to shopping mall, top universities, and Buona Vista MRT","Always expect that working as consultant will reduce your personal times.",,"5.0","vVolve Management Consultants"
"Management treat staff as family. When staff is unwell, management visits them in hospitals, recommend specialist for them to visit, approves staff to work from home in their home town when their family needs them, gives ample opportunities to learn different skills. Quite flexible in approving of leaves, time off, etc...","No company is perfect. There will be pros and cons in every company. For the staff that comments that it's better to be unemployed than to be working in vVolve, then what are you doing still in vVolve and getting your pay??!! Go and be unemployed. Management might not be very well organised now and pay might not be fair to some but all in all, it's a good company to work in as long as you do your part of your work and don't be a gossip monger.","Strengthen your HR policy and stop giving leeway to staff whom most of them are abusing the freedom and trust given to them.","3.0","vVolve Management Consultants"
"I've had the opportunity to work with friendly, helpful and highly skilled colleagues whom have always given me hands on coaching. Through first hand experience, I've been able to gain knowledge and skills about SAP & OpenText and project planning.","none identified at the moment",,"4.0","vVolve Management Consultants"
"A company with ample opportunities to learn and grow.Being in Consultancy, get exposure to Business Process, not just technology which is possible with most of the IT System IntegratorsOpen, friendly work culture, lean management, easy to approach.Management goes an extra mile whenever there is a need","I have no cons so far",,"4.0","vVolve Management Consultants"
"vVolve Management Consultants is a stable and rapidly growing organization with a footprint in all three areas of ERP, EIM and ECM.Now comprised of consultants gathered from few of the best consulting organizations around the globe, it brings a lot of value and experience to the customers as well as internal to the organization. The senior management are experienced serving in the services industry for over 20 years and they value relationships built with customers and employees above anything else.","Need to be more proactive in their adoption of new technologies.",,"4.0","vVolve Management Consultants"
"No Pros to be mentioned. The company has recently updated some fake reviews talking about the glorious work culture. Kindly refrain to join this organization as its the worst IT organization with people always work in a revengeful mode.","Senior Employees don't want to grow and they don't allow others to grow as well. They have got a inferiority complex that if others will learn something new, then its a damage to their position in future.","Please be fair with your employee policies. The salary should be made based on an individual's talent and not on the basis of tenure of the employee. There are some employees who used to spend most of their time on social media and are sitting at higher package. Kindly expel those employees and respect those who give you unbiased opinion.","1.0","vVolve Management Consultants"
"No Pros for this company.","Worst ever management.Treats employee like a slave.Commits unrealistic time lines to customers.If you are joining this company, there is only draining of your knowledge and no learning.",,"1.0","vVolve Management Consultants"
"Since it is a small company you get oppoutunity to learn lot","work life balance is not thereNo proper HR policyNo medical benefits",,"3.0","vVolve Management Consultants"
"If you are at initial phase of your career or less than 3 years you can join so that you can get to know about the details of project build phase otherwise i recommend not to join.","Poor and Un Professional ManagementNo good clients and wont get any big ProjectsNo Talent Pool of resourcesNo Hikes",,"1.0","vVolve Management Consultants"
"It was a pleasant winter morning & I stepped in Sathguru on 11th Dec,1991 as an “office assistant”.Wow!! 25 years at Sathguru has been an incredible journey. It is a reflective moment. I was young, energetic and full of great expectations. The management gave me my first break with an opportunity for working in the accounts department as an Accountant & after that I have been climbing up every step of my career.Back then we were barely 25 employees, 20 of us were bachelors and we worked together day and night as a family & friends & not as employees.Before joining Sathguru, I have never seen a computer & was not even comfortable speaking in English.Thanks to the emphasis on continuous learning & training at Sathguru, now I am not only an expert with my computer but also technically sound in my area of work & my communication skills.I never dreamt of seeing an aero plane. In Sathguru I was given plenty of opportunities.My first flight journey was to New Delhi in 2005 to visit Bangladesh embassy.My first International trip was to Cornell University, Ithaca and New York was in 2010 for meeting on project finance planning. This helped me in improving my skills in International accounting and the intricacies of project finance planning.And followed were many more trips like Singapore, Sydney, Australia for various workshops & to Sathguru SUMMER OFFICE with family ..The management continuously recognized my sincerity & hard work and kept rewarding and motivating me. Over the years I have won multiple awards & few to mention are:      Best performance award in 2012-13 & 2016 -17      Long service award in 2015 along with ten other colleges who completed 10 yearsThere are plenty of events & activities at Sathguru & I participate in every activity to balance my work life.I have also been able to share miles of smiles with my family at home & my parents at my village.I have seen the company grow and at every step the management supported every one of us to grow with the company.For me even after 25 years, every day is a fresh start and a new learning. I would like to let my younger colleagues know that in Sathguru Opportunities are unlimited and one just has to work hard and grab them.","- n i l -","keep the momentum going","5.0","Sathguru Management Consultants"
"The best five reason to work with Sathguru are follows:1. Timings (9 to 6 Day shift)2. Fun working place3. Free Lunch4. 5 Working Days in week (Mon to Friday)5. Good Learning and friendly employees","No Work exposure, Restricted in Work, Lack of Trust on Employees",".","3.0","Sathguru Management Consultants"
"I worked in the consulting team at Sathguru. Great learning experience. High quality peers and diverse work profile offering learning opportunity. Great employer if you are interested in consulting in the lifesciences domain. Management has great depth of knowledge and are thought leaders in their own right. People are approachable.","As with any consulting firm, there is work pressure and need to stretch. If you dont like diverse work and are more comfortable with repeated work of same nature, not the place for you. High learning curve expected from team.","Preserve the high learning environment. Keep hiring the diverse team - that is what differentiates the firm. Dont give in to bullying on online forums like this and maintain the high bar on performance expectations.","5.0","Sathguru Management Consultants"
"With the present environment there is no best reason to work","All family run business, with inexperience so-called next generation entrepreneur, having no knowledge and experience to drive. People management at its worst, no HR initiatives, no retention policy, Sycophancy at its peak. Ideal place for only sycophants. Professionalism is zero.","Look inside and explore within, and rectify those move towards best practices, Work life balance is zero","1.0","Sathguru Management Consultants"
"Provides ample opportunities to learn, perform and grow.","No specific cons to highlight.","Please encourage deserving candidates","5.0","Sathguru Management Consultants"
"They are no positive points","They pay very low salary for employees. They will burden the employees with lot of work.They treat newely joined employees as there slaves",,"1.0","Sathguru Management Consultants"
"Organisation always encourages their Associates to perform to their best. You will have freedom to work and contribute.","No negative points to highlight about organization.",,"5.0","Sathguru Management Consultants"
"work culture at Sathguru is encouraging the employees to put their best foot forward. A very diverse, experienced and talented pool of colleagues makes every day at the job enriching while giving lots of opportunities to learn. all this while having lots of fun","nothing to talk about improvements","keep it up and maintain the winning work culture","5.0","Sathguru Management Consultants"
"I was associated with Sathguru for close to eight years and all that I can say in brief is that this is a best place to Learn and Grow. Ample opportunities are provided to its associates to learn at each stage and its associates are backed by strong leadership. Its associates get to work with cross functional experts giving a larger scope for multifaceted learning and growth. A place where its employees ideas are a big welcome.One single phrase "" Best place to Learn & Grow""A place where most former associates would like to come back and revisit after their stints with other organizations.....","Little more of delegation by creating intermediate power houses would help more to reach to greater heights of success as envisioned by its visionary leadership.","Good luck, keep going, live with your vision.....","4.0","Sathguru Management Consultants"
"Good location. Work life balance.","There are mostly South Indians in the office, and sometimes they keep talking in their own language in meetings. The Management is totally unrealistic about their employee expectations.No ambitions. Their website has been hanging around in the air since last 4 years, because the leadership does not give any freedom to the employees for the work.","You need to understand how to get things done from creative folks. Hire people whom you really need, and not people who end up being frustrated at your office.","1.0","Sathguru Management Consultants"
"Great work environment, great management staff.","None that I can think of.",,"5.0","Sears Pool Management Consultants"
"Everyone at SPMC is friendly and professional. They take their jobs very seriously, but seem to really enjoy what they do and who they do it with!","I really do not have anything to say about this business. Everyone at SPMC was helpful, kind, and a privilege to work with.","Work on phone efficiency. It was sometimes hard to get ahold of the main office.","4.0","Sears Pool Management Consultants"
"Good managementDiverse locationsAccommodating schedulesFun","A lot of the same workNot exactly career building","Maybe mix up jobs and allow for developments","4.0","Sears Pool Management Consultants"
"Flexible HoursHead manager is great to work forOnline scheduling system is easy to work with","-HOT, long days in the sun.-You need to call off 1 month in advance.-If you need to call off within the month, after the schedule has been posted, you must find another lifeguard (some random person you've never met) to cover your shift - which usually involves paying them to take your shift. Management does not help get your shifts covered.","change your scheduling","4.0","Sears Pool Management Consultants"
"Everyone is super nice and they pay pretty well","Lifeguarding can be a scary job.",,"5.0","Sears Pool Management Consultants"
"Good pay, good bonus structure","Irregular scheduling, lack of communication sometimes",,"5.0","Sears Pool Management Consultants"
"They help you with your schedule.Good money.Get to travel to different pools.","Not the most sought after lifeguarding company.",,"4.0","Sears Pool Management Consultants"
"Great place...Great training and development.","Work Life Balance is not there",,"4.0","Sears Pool Management Consultants"
"Genuine, dependable, and intelligent coworkers. Wide variety of work. Small enough where any individual has the power to move the needle. Able to provide many of the ""perks"" often associated with larger firms. Great work life balance. Fast company growth","No major causes for concern",,"5.0","Barkawi"
"Small company in the US with headquarters in Germany, Rapid growth in the US with good culture","No major downsides, company is trying to streamline processes and adapt to the rapid growth",,"5.0","Barkawi"
"professional consulting services in after sales service and SCM, excellent consultants","salary package not so attractive","improve the service localization, find a good leader is the key","5.0","Barkawi"
"good exit options if you stay for 2 years","to much politics involved in the company",,"4.0","Barkawi"
"Friendly ColleaguesFocus on After SalesCare about Work-Life Balance","Unprofessional processesIntransparency of management decisionsLack of People Management/development skills of Top Management","Invest into skills of employeesPut emphasis into people development","3.0","Barkawi"
"New for me scope of tasks + a good opportunity to employ former experience","Short term vision of company management, very opportunistic approach to a customer and the tasks - catch money now and run. No interest in employee development.","Don't be short sighted","2.0","Barkawi"
"Interessante Projekte, angenehmes Arbeitsklima, Internationale Ausrichtung, Gute Work Life Balance, Gut um viel zu lernen, transparente Vergütung.","Die Kontras sind recht gering: Lange Arbeitszeiten, Sehr Politisch Geführt, Gehalt könnte besser sein, keine Überstunden werden ausgezahlt, ansonsten wenig zu bemängeln.","Die Gehaltstruktur könnte angepasst werden, und es könnte mehr auf die Ideen der Mitarbeiter eingegangen werden. Ansonsten bitte so weitermachen.","5.0","Barkawi"
"Interessante Projekte, teilweise auch international (USA/Kanada), faire Arbeitszeiten, nette Kollegen, guter UmgangMan kann recht viel zu Beginn lernen","Sehr politisch, man sollte sich mit den Eigentümern/ der Geschäftsführung gut stellenEher mittelmäßige Entwicklungschancen (monetär)Ist von den Beratungsthemen eher ""stuck-in-the-middle"", nicht professionell genug (wenig Tools und Methoden)","Die Consultants proaktiv enger einbinden, sich weniger mit sich selbst beschäftigen","3.0","Barkawi"
"It is a pretty good company with decent senior management, a reasonable organizational framework to allow you to be successful, very good flexibility to allow you to get your job done with reasonable expectations, and barely adequate infrastructure and capabilities.","Lacks strategic direction, is a bit ""all-over-the-map"" in the pursuit of new business, does not properly support the teams with a minimum proper IT investments (teams are left to fend for themselves to ""figure it out""), does not have a comprehensive organizational delivery process / style and each team does things their ""own way"" which reduces the efficiency of the organization when new teams are stood up or team members move from one team to another . . .","Read ""Good to Great"" and focus on select core areas, properly support those core areas, properly train and support the teams, and look at the portfolio from a long-view perspective.","4.0","Information Management Consultants"
"Flexible work schedule; great teams who work hard and also know how to take time out for fun; if a contract ends, employees will be placed on other teams","If you want to go to a conference or take a class and want them to pay for it, they will make you sign a form that you will pay back any money spent if you leave within a year (prorated if you leave before 2 years). They fail to see immediate payback to the company if you acquire new skills and knowledge! Basically, you become stagnant unless you have the resources to pay for yourself. Issues are brought up once, during your yearly review, and it can be a surprise as you had no idea there was an issue with your performance.","Invest in your employees - their professional growth is a growth for the companyCommunicate any performance concerns immediately, not during yearly evaluationsReward hard work accordingly, with increase in salary or other perks","3.0","Information Management Consultants"
"Great people. Flexible hours. Fun work environment. Long history. Lot of wisdom in these walls.","Highly locked into niche markets and contracts. Investment in people and infrastructure is minimal at best. Skeleton crew IT dept with hardly any company-wide tools and technical resources. Extremely conservative financially.","Invest in your people and infrastructure","4.0","Information Management Consultants"
"Great flexibility, work your own hours, independent. Great place to balance work and personal life.","Flexibility comes at the cost of recognition, annual benefits.",,"3.0","Information Management Consultants"
"1 - Nice work environment2 - Good benefits package (health insurance .... etc)3 - Diverse4 - Stability5 - Small teams","Lack of long term software products","Technical leadership","4.0","Information Management Consultants"
"Flexible work schedule, vacation benefits better than average, breakfast once a month, attempt to find you work if your project has ended","Employer discretion 401k match (no match), limited tuition reimbursement, limited training, blatant display of employee favoritism, some employees are allowed to work from home and not others","Invest in business development and to the employee's 401k plan, make an effort not to isolate leadership from the employees","2.0","Information Management Consultants"
"Relaxed, friendly and professional work environment for the most part. IMC gives decent salaries and packages with respect to the market.","Unclear vision to where the company is going and how teams should be structured. Poor senior program and project management.","Be more creative, flexible and adoptive to technology and market trends. Get your hands on and replace/hire a new management layer that is really capable of taking on their responsibilities.","3.0","Information Management Consultants"
"Competitive salaryProximity to homeNice colleaguesGood work/life balanceGood/fair benefitsLow stressSmall workloadGood food at holiday party","No career growthPoor program managersTeams work in silosNo communication from senior management regarding company’s other projectsNo understanding from management of employees’ skillsets",,"2.0","Information Management Consultants"
"RKMC Is a great company to work for. It has a great team of dependable and reliable professionals who care about their employee needs. Nidhi and Natasha are simply a pleasure to work with: they are there for you when you most need them. The company has diverse culture and great values.","No cons at this time.","Keep bringing smart, hard working and driven people aboard to stay the course. Best of luck to you and continued success!","5.0","RK Management Consultants"
"RKMC is a great place to work for! They continually put their employees first and make an effort to stay current in the industry. It's very encouraging to be a part of such a wonderful company and industry, especially while we make such big strides in expanding our clientele.","None at this time.","Keep up the great work!!!","5.0","RK Management Consultants"
"People are very nice to work with and responsive to any request you may have.","I didn't feel any cons for now",,"5.0","RK Management Consultants"
"RK Management Consultants is a company that truly values their employees and helps them grow. They understand that people are the heart of their business and make every effort to help them however they can, whether it be finding opportunities to expand their careers or with personal matters. It's been a great experience working with them for the last year!","I have nothing negative to say!",,"5.0","RK Management Consultants"
"I have had a wonderful experience working for RKMC! I have been associated with the company for over 6 years now, and they have always gone out of their way to take care of their employees. They truly practice always putting their employees first and making sure they are successful by providing a platform to build a career.","None! Truly a great and dependable company!!",,"5.0","RK Management Consultants"
"There are no pros to working for this company.","Constant lies, never knowing if you'll have a job tomorrow or not, a complete lack of benefits, Higher ups who contractually forbid you from advancing within the company, higher ups who don't speak english.","Run your business like a business, not as a method for stroking your egos.","1.0","RK Management Consultants"
"1 year ago, I took my career defining decision- to join KNR; today I can say that was one of the best decisions I ever made.Pros:1. Work culture: A very supportive, friendly & collaborative environment. Seniors & colleagues are always ready to help .The word biased and unbiased never exist here.2. Learning & Training: Management provided me hands on experience of using different recruiting tools like LinkedIn, Monster, Naukri.com and various platforms of social media. I’ve learnt the skill of Leadership Hiring.3. Reviews, Rewards & Recognition: It’s a performance driven organization and reviews are held twice in a year. The feedback from my manager & seniors helped me improve.4. Professionalism & Personal life: KNR believes in ethics, humility and integrity which become a part of personality over a period of time. Work culture maintained in the organization is good; a lot of celebrations, training and employee engagement activities are done.For me KNR has been one of the few companies in recruitment sector in Delhi-NCR which follow the MNC culture. With lots of passion and aspirations, I am forecasting a long run career with #TeamKNR .","Nothing in specific, it's been a pleasant journey so far.",,"5.0","KNR Management Consultants"
"I have been working with KNR Management Consultants for more than 4 years now.In these years I have learned a lot in terms of working with CFTs & multicultural environments.I got a chance to work on various profiles like Executive search, Industrial research, Market research and Global hiring. It has added to the development of my overall personality in terms of discovering my competencies.The support management provides, in terms of learning and development, helps one build up expertise in no time; it in turn helps in delivering results and achieving handsome incentives.","Everything has its pros and cons, but the beauty lies in appreciating the benefits of every situation.",,"4.0","KNR Management Consultants"
"Working with KNR is a decision that came as a turning point in my career. KNR as an organisation is employee centric. Employees, their performance and career planning are a priority for KNR. Management here welcomes and appreciates good talent.If you are a performer KNR is a platform that will help you grow. Performance reviews are done twice a year, and if you are a result oriented professional you have good chances of growth both in personal and professional terms. Work life balance is also one of the most important factors you get in KNR.","Nothing in specific, Good work culture",,"4.0","KNR Management Consultants"
"Nothing concrete as such,1. Shift timings are fixed.2. A bit better pay.3. If you stay nearby, travel time can be saved.","The list is endless :-1. the appointed team managers are autocratic in their approach Lunch break: You will be forced to take the half n hour lunch break with the team and not by your own wish, during the break timings (they will also give you reasons for the same.) you literally have to say 'yes' to everything if you wish to sustain in the organisationElse, you will be humiliated and asked to give the resignationAlso, they will put false allegations on you for the resignation reason. (Unfair treatment)2. no due diligence given to the employee's feedbackHalf day salary: Office timings starts at 10am, you can report by 10.05 and if you are late by 10.05 half day salary will be deductedWhich also acts as a de-motivation, as it's better to come by half day at 2-2.30 instead getting half day salary deducted by a minute.3. You are not allowed to take early leaving or leave when you actually require it (not even when you are ready to submit all the medical documents)4. there's another funny thing, though they've kept a tea/coffee vending machine but the machine is in operation just twice in a day.. they've specifically kept fixed hours for the same..meaning you can't even drink tea/coffee as per your convenience.. that too has to be done as per their wish5. No proper training given not even to thefresher candidates.6. not a good place for growth7. high attrition rate: this is also because of the above mentioned reasons","please try to appoint such individuals as managers who can promote a healthy working environment.","1.0","KNR Management Consultants"
"Very supportive and good learning experience","Stringent Incentive policy and less flexibility",,"4.0","KNR Management Consultants"
"Excellent work environment and a better paymaster in comparison to the industry basis. KNR promotes professionalism more than anything else and since its establishment, talent has always been given importance than other resources.","The office's location and I guess is the only pros I can see at KNR","Establish Office in other regions too.","5.0","KNR Management Consultants"
"Free fresh fruit and coffee, great meals at staff meetings, fair pay, decent benefits, collegial work - environment.","Flat organization with limited growth opportunities. Family owned with long-term managers. d,","Rotate duties, expand roles and cross-train.","4.0","MMC Inc"
"Family oriented company, some staff members do genuinely show care. Good benefits package, free parking, morning coffee and fruit served on a daily basis. Most people are friendly and courteous.","Poor communication within all departments. There's very little transparency within the departments, people tend to work more individually then collectively. Hard to move up / grow within in the company.","Management needs to be more communicative to the associates. Cannot expect staff to better service the clients without knowing what is actually being serviced to them.","3.0","MMC Inc"
"You will work with some great people, very knowledgable about their specific discipline. The engineering work was hands on and very results based","Very opinionated crew, not open to change to try and increase profits","Be more open to new ideas/ types of people.","3.0","MMC Inc"
"Personal growth, promotions, family oriented, the CEO is awesome!","They deserve more clients and expansation to grow even further.","The big compnay now should never forget how they started very small long ago!","5.0","MMC Inc"
"Good down to earth people all trying their best to get along and work together. I've worked at much larger companies and also at tiny start ups, I can say for its size this place really tries to remove the separation between its staff and owners/managers. It offers fruit/coffee everyday and monthly meetings with bagels and other stuff. Good benefits and cheap movie tickets.","Moving your car around so others can get out does bother some people. It's quiet and sometimes feels empty. The owner stops by your work area almost every day (not sure if this is a con?)","Be involved at every level.","5.0","MMC Inc"
"They provide free coffee for employees with cream and sugar. The office is filled with birds in cages. The building has air conditioning. Employees are required to park in tandem parking so you have to move your car every time your co worker needs to leave, which is nice to go outside for fresh air, especially when you are right in the middle of something important.","Management is terrible. All the departments managers hate each other. There is no cohesive team because all areas of the operation work independently. No one helps each other and when something goes wrong, fingers are pointed and everyone blames each other instead of working together to find a solution. when someone with new or fresh ideas offer suggestions to help the company move forward, they are singled out and reprimanded for challenging the status quo. There have been so many talented people who have left the company because the people that have the power are clueless. I don't expect this company to be in business for much longer. They have been in business since 1983 but the life cycle of the organization is showing to be on the decline.","Choose your department heads wisely. The managers that you have chosen to be in a position of power are not providing you with accurate information. The current ""leadership"" use their power position to get rid of the people that they feel threatened by. Think about the most talented, educated, and business oriented people that you have had employed with you in the last 5 years. They are no longer with you. Now look at who you have left. You often talk about loyalty, and I'm sure the management you have chosen will definitely be loyal... Until the end.","1.0","MMC Inc"
"great benefits, always exciting, every day something new.","limited growth opportunities. too much micromanagement.","better time management.","4.0","PKS Management Consultants"
"Good motivation and guiding. Employees are give utmost importance and are well motivated to do work. There is good usage of modern communication opportunities and strong support","Sometimes timing of communication is not appropriate","Keep up the good work","4.0","PKS Management Consultants"
"PKS is a great place to work, where one can learn alot and grow. Full support and encouragement from our CEO is an added advantage","Sometimes waiting for projects to swing by, can be a bit hard.",,"4.0","PKS Management Consultants"
"As a MBA graduate, it was a wonderful opportunity to work with Mr.Pramod a gem of a person.The company gets great projects, and has a wonderful caliber to go the distance.With an enthusiastic employees associated with the organization.","Should have a practical approach towards, and should try to make big fishes of the ocean their clients.","Should focus on branding, and as well get the big names in the profile.","4.0","PKS Management Consultants"
"Very encouraging and dedicated management","The work agenda need to be designed in a way that it is feasible for part time workers too",,"3.0","PKS Management Consultants"
"> Flexibility in work> Work culture> Values followed> Leadership initiatives> High Decentralization> Management support> Great experienced employer> Friendly work environment> Overall awesome","You might be expected to work in a cross functional role but this is of course what is expected in any other management consultancy..i couldn't find any cons !!","Just that if they could work upon their branding!","5.0","PKS Management Consultants"
"Good all the time you work","Nothing to mention right now.","Share with employees","4.0","MACS"
"Strategy is good keeps all involved in process of where the company is going","Distance to the office is 3 hours from the field sometimes feel disconnect",,"5.0","MACS"
"good for students and immigrants. its flexible job with nights shifts","nights can be hectic. wage rate is minimum","shifts shoud be shorter","4.0","MACS"
"Nice manager. Good pay. All in all a great experience.","I really don't have much bad to say. Didn't like some of coworkers, but most were okay.","Keep doing what your doing. Don't be afraid to expand. Good products, nice people.","4.0","MACS"
"Good customers, good hours, not a lot of responsibilities","Manager was not very helpful",,"3.0","MACS"
"Culture, competent, delivers value, delivers integrity, fun, performs - just a great place","Really cannot find any - its just a great place","Continue:-)","5.0","Valcon"
"You get to have a team lunch with 2 or 3 people who might be in the office","1. Frequent abuse from the India CEO of this company. Caste based discrimination was rampant especially by the Indian business leader.2. There is no management here as such, as the CEO of India is the sole decision maker here, and others exist to obey his orders. There is no reception to any new ideas.3. Parent organization in Denmark does not have a strong control over business activities in India. Its mostly like a satellite office to the parent company in Denmark, and does not have any capabilities to get projects my itself.5. Pathetic office environment, and facilities. They don't even have a good quality conferencing facility.","It is not worth to advise the management, as there is only one person controlling the entire show!!!","1.0","Valcon"
"None - no pro's in this company, all con's","Ethics - they don;t give clarity to employees about company's direction and decide for themselves","Please stop cheating employees and minting money among a small set of top management","1.0","Valcon"
"Close knit, small, better work recognition","Not too many cons at the moment",,"3.0","Valcon"
"Great team, space to grow, flat structure","Can get a bit chaotic on busy days. This is already being worked actively on, though.","Keep prioritising IT, it pays off.","5.0","Valcon"
"Great staff with a positive attitudes, and good career development opportunities.","Unsure about future vision of company, many conflicting messages from leadership.",,"4.0","IMCA"
"Wages are competitive, certain departments are great, CEO was great, the company literally has more money than it knows what to do with. The right department equals a great work place. Lot's of opportunities for growth within certain departments.","Very small company, lack of role definition, extremely political, expectations aren't defined, due to the abundance of money certain managers ask the world. The wrong department equals a terrible situation and I was in the wrong department. Health insurance premiums were very high and the coverage is poor.","Work on role definition - be patient and if you choose to promote within that's fine but define expectations. If you can't define the expected results more than ""you should be a better manager"" then you need coaching. Yelling and screaming is never appropriate from management and should never be condoned by HR. Certain upper managers need training.","2.0","IMCA"
"Supportive management, reasonable workload, good staff morale and fun work environment.","No comp time for working very long hours when traveling, too many closed door meetings, salary reflects not for profit nature of business even though organization is extremely financially stable.Company policy prevents people from getting references for future jobs. Little to no career advancement opportunities because of small staff.",,"5.0","IMCA"
"Professional yet relaxed atmosphere. Small, close knit group of management and staff. Manageable work load and good environment in which to work.","Pay is average (for non-profits).","Ask more from your employees and pay them for the additional responsibilities.","5.0","IMCA"
"Une relation directe avec la formation, les intervenants et les différents demandeurs de prestation.","Au contraire je ne vois pas d’inconvénient, seulement on est toujours pris par les actions à assurer ou à planifier.","quelle direction?","4.0","IMCA"
"Nothing good, everything is worse.","Worst Management system, company runs by the cheater.",,"1.0","British Management Consultants"
"Nothing to say about this Company. Everything is fake and all of them are fraudsters. All wrong information, don't pay salary at all, 10hrs working, no benefits. They promise to pay huge salary, bonus and incentives. Infact, they don't pay at all. They are bankrupt still they wanted to cheat people by hiring. They are not genuine at all. They started the company to cheat and earn huge money.Any company who works with them will suffer.PLEASE DO NOT JOIN IN THIS COMPANY. Be carefulI don't want anyone else to suffer joining in this Company.No one can give positive review about this Company, if there are then it's fake?","Hahaha joining in this Company itself is a big challenge. No proper communication and all of them are fraudsters.","Do not play with the people in the market. Everyone has their family and commitments to take care.This is not the way to run the company by cheating people.","1.0","British Management Consultants"
"There is nothing good to write about this company .This company/ Owner is bankrupt and don't believe them at all.They will offer huge pay, Accommodation, Food etc. and take to a different location (not B'lore) and don't pay on time. If anyone know the state of Indian Labors working in Middle Eastern countries, that is exactly how these guys take care of you. I had a Tough time working with them and was not getting paid on time .Please stay away from them, don't fall for the huge Bonus promise they do, They'll won't!!","Here we don't have any option to give them negative feedback due to which im not giving anything in case if that option is there i would give 5 negative stars.NOTE - ALL RATING IS NEGATIVE, NOT EVEN ZERO!","In the future if your want to start this company again be true the employees and pay them on time. If you are not honest to them, don't expect the same from them!!The employer, should not leave review on the company's behalf, there's another review which is Positive, that is not true as I know and was told, that review was put in Glassdoor by them, that is Cheating!!","1.0","British Management Consultants"
"There is nothing good to write about this company .Thai company has already become bankrupted and dont believe them.They will offer huge pay and dont pay on time .I had a hard time working with them and was not getting paid on time .Please stay away from them","Here we dont have any option to give them negative feedback due to which im not giving anything in case if that option is there i would give 5 negative stars","In the future if your want to start this company again be true the employees and pay them on time .","1.0","British Management Consultants"
"Nice company to work with","No cons as of now.","None","3.0","British Management Consultants"
"Good Management, paid well for job duties,","People voluntarily left the job and there were not rehires for them yet pay stayed the same while increasing the workload on the other left on the contract","I would suggest that if someone leaves 6 months before the contract is to end that more effort is placed on finding a replacement.","4.0","MTCI"
"The MTCI salaries, working environment and benefits for associates is excellent. The leadership team at HQ are some of the finest leaders and staff available with demonstrated expertise in their line of work. The company has an open door policy and is willing to work out all associate concerns quickly.","One con that is not really the fault of MTCI is that most associates are contractors working on government contracts that eventually end. The company does a good job of re-winning work and finding new opportunities for those associates whose contracts end","Continue to communicate with associates and those on contracts in the field. Continue to hold the company and associates to the highest standards of professionalism.","5.0","MTCI"
"Associates work in an environment of mutual respect, free of discrimination and harassment where each associate is regarded as a part of the “MTCI family”. Every co-worker is dedicated to meeting the customers needs. MTCI embodies stability, loyalty, and a depth of understanding that comes only with experience and total dedication. The company always strives to meet every customer’s expectations of: - Highest quality - Leading technology - Flexible customization capability - Individual and company accountability - Delivering best-in-class service and supportThe company never loses sight of their Core Values. - Going Above & Beyond - Loyalty To Mission - Care For Employees, Clients and Community","If you don't like traveling you may want to look elsewhere.","Never lose sight of the company's ""Core Values""","5.0","MTCI"
