"X","aspectsRecog","aspectsSubst","aspectsAdvance","aspectsComp","aspectsControlAmount","aspectsControlHow","aspectsRelations","aspectsSecurity","aspectsRespons","aspectsTasks","aspectsChallenge","aspectsSkill","aspectsTravel","aspectsEval","aspectsBalance","lifeSatIdeal","lifeSatExcellent","lifeSatHappy","lifeSatThings","lifeSatChange","lifeSatRespect","lifeSatFamily","lifeSatFaith","lifeSatHelp","age","gradNY","big4Frst","gender","salary","edu_under_3_TEXT","children","totalYrsWorked","totalYrsWorkedBig","gradNonLawNY","gradLaw","big4Now","empStatus","big4Ever","yearGroup","jobSatScore","lifeSatScore","yearsWorkedGroups","salaryContrasts","partTimeDummy"
1746,"Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Strongly agree","Neither disagree nor agree","Somewhat agree",28,"Yes","Yes","Female","$60,000-$69,000",2008,0,3,3,"1","0",0,"Employed full time","Yes","1980+",0.452785335257145,0.218209458329455,"Less than 15","$60,000-$69,000",0
1747,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Satisfied","Neither disagree nor agree","Somewhat agree","Agree","Agree","Somewhat disagree","Agree","Agree","Neither disagree nor agree","Somewhat disagree",24,"Yes","Yes","Male","$50,000-$59,000",2012,0,1,1,"1","0",1,"Employed full time","Yes","1980+",-1.68801817494558,-0.505058250567012,"Less than 15","$50,000-$59,000",0
1748,"Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Neither disagree nor agree",33,"Yes","Yes","Male","$120,000-$149,999",2003,2,9,9,"1","0",0,"Employed full time","Yes","1980+",0.251837292876799,0.0879111989133193,"Less than 15","$120,000-$149,999",0
1750,"Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Neither disagree nor agree","Somewhat disagree",47,"No","Yes","Male","$300,000-$499,999",1989,2,12,0,"0","0",0,"Employed full time","Yes","1980+",-0.413133657581168,-0.174972824871976,"Less than 15","$300,000-$499,999",0
1752,"Somewhat dissatisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Disagree","Agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Agree","Agree","Strongly agree","Agree",38,"Yes","Yes","Female","$80,000-$89,000",1998,0,15,2,"1","0",0,"Employed full time","Yes","1980+",-0.277062854670573,-1.89181931962937,"15 to 20","$80,000-$89,000",0
1753,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat disagree","Somewhat disagree","Agree","Agree","Somewhat disagree","Agree","Strongly agree","Strongly agree","Somewhat agree",28,"Yes","No","Male","$80,000-$89,000",2008,0,4,0,"1","0",0,"Employed full time","No","1980+",-0.0273503560926865,-0.998279798627675,"Less than 15","$80,000-$89,000",0
1754,"Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Neither disagree nor agree","Neither disagree nor agree","Agree","Agree","Agree","Somewhat agree","Agree","Agree","Somewhat disagree",23,"No","Yes","Female","$50,000-$59,000",2014,0,0,0,"0","0",1,"Employed full time","Yes","1980+",0.0624743628094871,-0.588191364351009,"Less than 15","$50,000-$59,000",0
1755,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Disagree",54,"No","Yes","Male","$1,000,000-$2,999,999",1982,3,32,32,"0","0",1,"Employed full time","Yes","1980+",1.01440468414692,1.03603546928224,"More than 20","$1,000,000-$2,999,999",0
1756,"Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Neither disagree nor agree","Somewhat agree","Strongly agree","Neither disagree nor agree","Neither disagree nor agree",25,"No","Yes","Male","$60,000-$69,000",2012,0,2,2,"0","0",1,"Employed full time","Yes","1980+",0.473789474277475,0.108113639403549,"Less than 15","$60,000-$69,000",0
1757,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree",37,"Yes","Yes","Female","$100,000-$119,999",2000,3,7,7,"1","0",0,"Employed full time","Yes","1980+",0.026258631753992,0.800066926180851,"Less than 15","$100,000-$119,999",0
1758,"Satisfied","Satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat dissatisfied","Highly satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Neither disagree nor agree","Strongly disagree",47,"Yes","Yes","Female","$1,000,000-$2,999,999",1989,2,25,3,"1","0",0,"Employed full time","Yes","1980+",-0.551391656214417,0.216947269775678,"More than 20","$1,000,000-$2,999,999",0
1759,"Dissatisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Satisfied","Dissatisfied","Satisfied","Somewhat disagree","Strongly agree","Neither disagree nor agree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Agree","Somewhat agree",54,"No","No","Male","$300,000-$499,999",1982,4,32,0,"0","0",0,"Employed full time","No","1980+",-0.673663818210984,-1.02233079067872,"More than 20","$300,000-$499,999",0
1760,"Highly satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Agree","Agree","Somewhat disagree",37,"No","Yes","Female","$150,000-$199,999",1999,1,15,5,"0","0",0,"Employed full time","Yes","1980+",-0.0766275792084748,0.17948861178334,"15 to 20","$150,000-$199,999",0
1763,"Satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree",46,"Yes","No","Male","$200,000-$299,999",1990,4,2,0,"1","0",0,"Employed full time","No","1980+",0.272878299372473,0.912220826996878,"Less than 15","$200,000-$299,999",0
1764,"Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Highly satisfied","Somewhat disagree","Neither disagree nor agree","Somewhat disagree","Somewhat agree","Disagree","Neither disagree nor agree","Somewhat agree","Neither disagree nor agree","Somewhat disagree",23,"No","Yes","Male","$50,000-$59,000",2013,0,1,1,"0","0",0,"Employed full time","Yes","1980+",-0.989301598701075,-1.99174749346985,"Less than 15","$50,000-$59,000",0
1765,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Somewhat agree","Somewhat agree",44,"Yes","Yes","Male","$300,000-$499,999",1992,3,22,5,"1","0",0,"Employed full time","Yes","1980+",1.00679391792851,0.276118128743358,"More than 20","$300,000-$499,999",0
1767,"Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat agree","Agree","Agree","Agree","Somewhat agree","Agree","Strongly agree","Neither disagree nor agree","Somewhat disagree",31,"Yes","No","Female","$70,000-$79,000",2006,0,6,0,"1","0",0,"Employed full time","No","1980+",-0.0250820013320576,0.0079006134854425,"Less than 15","$70,000-$79,000",0
1768,"Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Somewhat disagree",36,"No","Yes","Male","$800,000-$999,999",2000,2,8,5,"0","0",0,"Employed full time","Yes","1980+",0.808544232662853,1.08680925362191,"Less than 15","$800,000-$999,999",0
1769,"Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Somewhat agree","Somewhat agree","Agree","Agree","Somewhat agree","Neither disagree nor agree","Strongly agree","Neither disagree nor agree","Neither disagree nor agree",43,"Yes","Yes","Male","$200,000-$299,999",1993,2,17,2,"1","0",0,"Employed full time","Yes","1980+",0.628574171874628,-0.276433030749797,"15 to 20","$200,000-$299,999",0
1771,"Satisfied","Satisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat agree","Agree","Agree","Strongly agree","Disagree","Somewhat agree","Strongly agree","Disagree","Agree",28,"No","Yes","Female","$70,000-$79,000",2009,0,5,5,"0","0",1,"Employed full time","Yes","1980+",0.100190257797771,-0.0384149112114293,"Less than 15","$70,000-$79,000",0
1772,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Somewhat agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Strongly agree","Agree","Neither disagree nor agree",23,"No","No","Female","$50,000-$59,000",2013,0,0,0,"0","0",0,"Employed full time","No","1980+",-0.838393934539044,-0.0904242475897453,"Less than 15","$50,000-$59,000",0
1773,"Neither dissatisfied nor satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat disagree","Neither disagree nor agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree",27,"Yes","Yes","Male","$80,000-$89,000",2009,0,5,5,"1","0",1,"Employed full time","Yes","1980+",-2.48867058979164,-0.885183298847018,"Less than 15","$80,000-$89,000",0
1774,"Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",25,"No","Yes","Female","$80,000-$89,000",2011,0,2,2,"0","0",0,"Employed full time","Yes","1980+",0.126549224009832,0.264720625788211,"Less than 15","$80,000-$89,000",0
1775,"Satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Disagree",60,"No","Yes","Male","$200,000-$299,999",1976,2,37,10,"0","0",0,"Employed full time","Yes",,0.315534178413749,0.505723417448124,"More than 20","$200,000-$299,999",0
1776,"Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Dissatisfied","Dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Dissatisfied","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Strongly agree","Agree","Somewhat agree",60,"Yes","No","Male","$150,000-$199,999",1976,1,34,0,"1","0",0,"Employed full time","No",,-2.84056828513719,0.107528282603032,"More than 20","$150,000-$199,999",0
1777,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree",24,"No","Yes","Female","$50,000-$59,000",2012,0,2,2,"0","0",0,"Employed full time","Yes","1980+",1.20100475561395,1.13377497355691,"Less than 15","$50,000-$59,000",0
1778,"Satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Neither disagree nor agree","Somewhat agree","Agree","Neither disagree nor agree","Neither disagree nor agree","Agree","Strongly agree","Agree","Somewhat disagree",37,"No","Yes","Male","$150,000-$199,999",1999,0,6,4,"0","0",0,"Employed full time","Yes","1980+",-0.588441875831724,-0.66424931472505,"Less than 15","$150,000-$199,999",0
1779,"Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Neither disagree nor agree","Agree","Agree","Agree","Somewhat disagree",39,"No","Yes","Male","$200,000-$299,999",1997,0,16,16,"0","0",0,"Employed full time","Yes","1980+",0.249025451608498,-0.381980140700729,"15 to 20","$200,000-$299,999",0
1780,"Somewhat satisfied","Satisfied","Highly satisfied","Satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither disagree nor agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither disagree nor agree","Neither disagree nor agree","Agree","Somewhat agree","Disagree",25,"Yes","Yes","Male","$60,000-$69,000",2011,0,2,2,"1","0",1,"Employed full time","Yes","1980+",-0.241052634374021,-1.21336529394127,"Less than 15","$60,000-$69,000",0
1782,"Somewhat satisfied","Somewhat satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat dissatisfied","Highly satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Dissatisfied","Highly satisfied","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Neither disagree nor agree","Somewhat disagree",32,"No","No","Female","$60,000-$69,000",2004,1,7,0,"0","0",0,"Employed full time","No","1980+",-1.20167251073784,0.419995345581214,"Less than 15","$60,000-$69,000",0
1783,"Satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Somewhat dissatisfied","Somewhat satisfied","Highly satisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Disagree","Neither disagree nor agree","Agree","Somewhat agree","Somewhat disagree","Agree","Strongly agree","Strongly agree","Agree",55,"Yes","No","Male","$150,000-$199,999",1981,3,30,0,"0","1",0,"Employed full time","No","1980+",-0.515031591237145,-1.10415498553042,"More than 20","$150,000-$199,999",0
1784,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree",60,"No","Yes","Male","$1,000,000-$2,999,999",1976,2,38,38,"0","0",1,"Employed full time","Yes",,1.09828910536172,1.18320023216186,"More than 20","$1,000,000-$2,999,999",0
1785,"Highly dissatisfied","Dissatisfied","Dissatisfied","Somewhat satisfied","Highly dissatisfied","Highly dissatisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Highly dissatisfied","Highly dissatisfied","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Agree","Agree","Agree","Neither disagree nor agree",54,"No","No","Male","$500,000-$799,999",1981,1,16,8,"0","0",0,"Employed full time","Yes","1980+",-2.69780790308695,-1.41130831115082,"15 to 20","$500,000-$799,999",0
1787,"Somewhat satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Somewhat agree","Neither disagree nor agree","Somewhat agree","Somewhat agree","Disagree","Somewhat agree","Agree","Agree","Somewhat agree",51,"Yes","Yes","Female","$200,000-$299,999",1985,2,26,2,"1","0",0,"Employed full time","Yes","1980+",-0.0771506119327787,-0.964896577497768,"More than 20","$200,000-$299,999",0
1788,"Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither disagree nor agree","Strongly agree","Strongly agree","Strongly agree",61,"Yes","No","Male","$200,000-$299,999",1975,3,39,0,"1","0",0,"Employed full time","No",,0.955135721599721,1.04682724414257,"More than 20","$200,000-$299,999",0
1789,"Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Highly dissatisfied","Dissatisfied","Satisfied","Somewhat dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Dissatisfied","Agree","Agree","Agree","Agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree",57,"Yes","Yes","Male","$200,000-$299,999",1979,3,3,3,"1","0",0,"Employed part time","Yes",,-0.790022595013795,0.0768310557893623,"Less than 15","$200,000-$299,999",1
1790,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Somewhat dissatisfied","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Somewhat agree",51,"No","No","Female","$1,000,000-$2,999,999",1986,3,28,0,"0","0",0,"Employed full time","No","1980+",0.884275669523452,0.689971107254945,"More than 20","$1,000,000-$2,999,999",0
1791,"Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Somewhat dissatisfied","Dissatisfied","Somewhat satisfied","Satisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Neither disagree nor agree",53,"No","Yes","Male","$300,000-$499,999",1983,2,29,6,"0","0",0,"Employed full time","Yes","1980+",-1.62058962154804,0.218083575365219,"More than 20","$300,000-$499,999",0
1792,"Satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Somewhat satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree",44,"Yes","No","Male","$150,000-$199,999",1992,2,19,0,"0","1",0,"Employed full time","No","1980+",0.655143801005906,1.15135271678514,"15 to 20","$150,000-$199,999",0
1795,"Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Somewhat satisfied","Satisfied","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Somewhat agree",59,"No","Yes","Male","$1,000,000-$2,999,999",1977,2,34,13,"0","0",0,"Employed full time","Yes",,0.739241616730134,0.516553712471187,"More than 20","$1,000,000-$2,999,999",0
1796,"Somewhat satisfied","Neither dissatisfied nor satisfied","Dissatisfied","Neither dissatisfied nor satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Somewhat dissatisfied","Somewhat satisfied","Dissatisfied","Somewhat dissatisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Somewhat agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree",29,"Yes","Yes","Female","$80,000-$89,000",2007,0,6,6,"1","0",0,"Employed full time","Yes","1980+",-1.9383120868053,0.252541805030428,"Less than 15","$80,000-$89,000",0
1797,"Satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Satisfied","Highly satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree",51,"No","Yes","Male","$150,000-$199,999",1986,3,1,1,"0","0",0,"Employed full time","Yes","1980+",0.843470585559431,1.18320023216186,"Less than 15","$150,000-$199,999",0
1800,"Satisfied","Satisfied","Neither dissatisfied nor satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither disagree nor agree",72,"Yes","Yes","Male","Less than $50,000",1964,3,41,8,"1","0",0,"Employed part time","Yes",,0.126728331023189,0.240007996485741,"More than 20","Less than $50,000",1
1801,"Highly satisfied","Satisfied","Highly satisfied","Somewhat satisfied","Neither dissatisfied nor satisfied","Satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Somewhat satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree",23,"No","Yes","Male","$60,000-$69,000",2014,0,0,0,"0","0",1,"Employed full time","Yes","1980+",0.443958437066786,1.17084391751062,"Less than 15","$60,000-$69,000",0
1802,"Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Satisfied","Satisfied","Somewhat satisfied","Somewhat dissatisfied","Highly satisfied","Somewhat satisfied","Satisfied","Satisfied","Highly satisfied","Highly satisfied","Satisfied","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Somewhat agree",34,"Yes","Yes","Male","$100,000-$119,999",2003,2,3,3,"1","0",0,"Employed full time","Yes","1980+",-0.326033057130075,0.613573195997459,"Less than 15","$100,000-$119,999",0
1803,"Satisfied","Somewhat satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Highly satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Neither disagree nor agree","Somewhat disagree","Neither disagree nor agree","Strongly agree","Strongly agree","Somewhat agree",55,"Yes","Yes","Female","$120,000-$149,999",1982,4,20,4,"0","1",0,"Employed full time","Yes","1980+",-0.412557848173868,-0.208377502035471,"15 to 20","$120,000-$149,999",0
1805,"Satisfied","Satisfied","Dissatisfied","Somewhat dissatisfied","Satisfied","Satisfied","Highly satisfied","Somewhat dissatisfied","Somewhat satisfied","Satisfied","Satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Neither dissatisfied nor satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Somewhat agree",46,"Yes","Yes","Female","Less than $50,000",1990,3,8,4,"1","0",0,"Employed part time","Yes","1980+",-0.677388094212214,0.252364311136976,"Less than 15","Less than $50,000",1
1806,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Neither dissatisfied nor satisfied","Satisfied","Agree","Agree","Strongly agree","Somewhat agree","Disagree","Agree","Strongly agree","Agree","Strongly agree",70,"Yes","Yes","Male","$1,000,000-$2,999,999",1966,3,30,20,"1","0",0,"Employed full time","Yes",,0.741408774586105,0.251941103086218,"More than 20","$1,000,000-$2,999,999",0
1807,"Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Highly satisfied","Somewhat dissatisfied","Satisfied","Neither dissatisfied nor satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree",25,"Yes","Yes","Female","$50,000-$59,000",2011,0,2,2,"1","0",1,"Employed full time","Yes","1980+",0.993243401622869,0.935822443364137,"Less than 15","$50,000-$59,000",0
